place_name,state_ut,district,city_or_town,nearest_major_city,category
Khijadiya Bird Sanctuary Ramsar Site,Gujarat,Jamnagar,Jamnagar,Jamnagar,Wildlife
Lakhota Palace and Museum Jamnagar,Gujarat,Jamnagar,Jamnagar,Jamnagar,Palace
Statue of Unity (World's Tallest Statue),Gujarat,Narmada,Kevadia,Vadodara,Monument
Valley of Flowers Kevadia,Gujarat,Narmada,Kevadia,Vadodara,Garden
Sardar Sarovar Dam & Viewpoint,Gujarat,Narmada,Kevadia,Vadodara,Lake
Zarwani Eco-Waterfall Narmada,Gujarat,Narmada,Zarwani,Vadodara,Waterfall
Laxmi Vilas Palace Vadodara (4x Buckingham),Gujarat,Vadodara,Vadodara,Vadodara,Palace
Sayaji Baug & Baroda Museum,Gujarat,Vadodara,Vadodara,Vadodara,Museum
Champaner-Pavagadh Archaeological Park UNESCO,Gujarat,Panchmahal,Champaner,Vadodara,Archaeological
Kalika Mata Temple Pavagadh Hill,Gujarat,Panchmahal,Pavagadh,Vadodara,Religious
Sabarmati Ashram (Hriday Kunj),Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Museum
Adalaj Stepwell 5-Storey Baoli,Gujarat,Gandhinagar,Adalaj,Ahmedabad,Heritage
Sidi Saiyyed Mosque Tree of Life,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Heritage
Hutheesing Jain Temple White Marble,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Religious
Akshardham Temple Gandhinagar,Gujarat,Gandhinagar,Gandhinagar,Ahmedabad,Religious
Sarkhej Roza Architectural Complex,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Heritage
Sun Temple Modhera 11th Century,Gujarat,Mehsana,Modhera,Ahmedabad,Heritage
Rani ki Vav Stepwell Patan UNESCO,Gujarat,Patan,Patan,Ahmedabad,Heritage
Sahastralinga Talav Ancient Reservoir,Gujarat,Patan,Patan,Ahmedabad,Heritage
Ambaji Temple Gabbar Hill Shaktipeeth,Gujarat,Banaskantha,Ambaji,Ahmedabad,Religious
Polo Forest & Ancient Idar Temples,Gujarat,Sabarkantha,Abhapur,Ahmedabad,Heritage
Taranga Jain Temples Ajitnath,Gujarat,Mehsana,Taranga,Ahmedabad,Religious
Saputara Hill Station & Sunset Point,Gujarat,Dang,Saputara,Nashik,Hill Station
Gira Waterfalls Waghai,Gujarat,Dang,Waghai,Surat,Waterfall
Vansda National Park Evergreen Jungle,Gujarat,Navsari,Vansda,Surat,Wildlife
National Salt Satyagraha Memorial Dandi,Gujarat,Navsari,Dandi,Surat,Monument
