id,city_name,district,state
321,Ajanta,Chhatrapati Sambhaji Nagar,Maharashtra
322,Chhatrapati Sambhaji Nagar,Chhatrapati Sambhaji Nagar,Maharashtra
323,Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,Maharashtra
324,Dharashiv,Dharashiv,Maharashtra
325,Dhule,Dhule,Maharashtra
326,Gadchiroli,Gadchiroli,Maharashtra
327,Gondia,Gondia,Maharashtra
328,Hingoli,Hingoli,Maharashtra
329,Jalgaon,Jalgaon,Maharashtra
330,Jalna,Jalna,Maharashtra
331,Kolhapur,Kolhapur,Maharashtra
332,Latur,Latur,Maharashtra
333,Maan Taluka Of Satara,Maan Taluka Of Satara,Maharashtra
334,Mumbai,Mumbai,Maharashtra
335,Mumbai City,Mumbai City,Maharashtra
336,Mumbai,Mumbai Suburban,Maharashtra
337,Mumbai Suburban,Mumbai Suburban,Maharashtra
338,Nagpur,Nagpur,Maharashtra
339,Nanded,Nanded,Maharashtra
340,Nandurbar,Nandurbar,Maharashtra
341,Nashik,Nashik,Maharashtra
342,Palghar,Palghar,Maharashtra
343,Parbhani,Parbhani,Maharashtra
344,Khandala,Pune,Maharashtra
345,Lavasa,Pune,Maharashtra
346,Lonavala,Pune,Maharashtra
347,Nashik,Pune,Maharashtra
348,Pune,Pune,Maharashtra
349,Alibaug,Raigad,Maharashtra
350,Matheran,Raigad,Maharashtra
351,Raigad,Raigad,Maharashtra
352,Ratnagiri,Ratnagiri,Maharashtra
353,Sangli,Sangli,Maharashtra
354,Mahabaleshwar,Satara,Maharashtra
355,Satara,Satara,Maharashtra
356,Sindhudurg,Sindhudurg,Maharashtra
357,Solapur,Solapur,Maharashtra
358,Thane,Thane,Maharashtra
359,Wardha,Wardha,Maharashtra
360,Washim,Washim,Maharashtra
361,Yavatmal,Yavatmal,Maharashtra
362,Bishnupur,Bishnupur,Manipur
363,Imphal East,Imphal East,Manipur
364,Moirang,Moirang,Manipur
365,Southern Churachandpur,Southern Churachandpur,Manipur
366,Ukhrul,Ukhrul,Manipur
367,Cherrapunji,Cherrapunji,Meghalaya
368,Cherrapunji,East Khasi Hills,Meghalaya
369,East Khasi Hills,East Khasi Hills,Meghalaya
370,Garo Hills,Garo Hills,Meghalaya
371,Ri-Bhoi,Ri-Bhoi,Meghalaya
372,Shillong,Shillong,Meghalaya
373,South Garo Hills,South Garo Hills,Meghalaya
374,West Jaintia Hills,West Jaintia Hills,Meghalaya
375,Aizawl,Aizawl,Mizoram
376,Champhai,Champhai,Mizoram
377,Lawngtlai,Lawngtlai,Mizoram
378,Saitual,Saitual,Mizoram
379,Serchhip,Serchhip,Mizoram
380,Chumoukedima,Chumoukedima,Nagaland
381,Dimapur,Dimapur,Nagaland
382,Kiphire,Kiphire,Nagaland
383,Kohima,Kohima,Nagaland
384,Longleng,Longleng,Nagaland
385,Meluri,Meluri,Nagaland
386,Mokokchung,Mokokchung,Nagaland
387,Mon,Mon,Nagaland
388,Niuland,Niuland,Nagaland
389,Noklak,Noklak,Nagaland
390,Peren,Peren,Nagaland
391,Phek,Phek,Nagaland
392,Shamator,Shamator,Nagaland
393,Tseminyu,Tseminyu,Nagaland
394,Tuensang,Tuensang,Nagaland
395,Wokha,Wokha,Nagaland
396,Zunheboto,Zunheboto,Nagaland
397,Bhubaneswar,Bhubaneswar,Odisha
398,Chilika,Chilika,Odisha
399,Ganjam,Ganjam,Odisha
400,Jajpur,Jajpur,Odisha
401,Kendrapara,Kendrapara,Odisha
402,Bhubaneswar,Khurda,Odisha
403,Mayurbhanj,Mayurbhanj,Odisha
404,Puri,Puri,Odisha
405,Puducherry,Puducherry,Puducherry
406,Amritsar,Amritsar,Punjab
407,Anandpur Sahib,Anandpur Sahib,Punjab
408,Ram Bagh,Ram Bagh,Punjab
409,Anandpur Sahib,Rupnagar,Punjab
410,Mohali,Sahibzada Ajit Singh Nagar,Punjab
411,Shivalik Foothills,Shivalik Foothills,Punjab
412,Sultanpur Lodhi,Sultanpur Lodhi,Punjab
413,Ajmer,Ajmer,Rajasthan
414,Pushkar,Ajmer,Rajasthan
415,Alwar,Alwar,Rajasthan
416,Bikaner,Bikaner,Rajasthan
417,Bundi,Bundi,Rajasthan
418,Chittorgarh,Chittorgarh,Rajasthan
419,Jaipur,Jaipur,Rajasthan
420,Jaisalmer,Jaisalmer,Rajasthan
421,Jhunjhunu,Jhunjhunu,Rajasthan
422,Jodhpur,Jodhpur,Rajasthan
423,Mount Abu,Mount Abu,Rajasthan
424,Pali,Pali,Rajasthan
425,Sawai Madhopur,Sawai Madhopur,Rajasthan
426,Mount Abu,Sirohi,Rajasthan
427,Udaipur,Udaipur,Rajasthan
428,East Sikkim,East Sikkim,Sikkim
429,Gangtok,East Sikkim,Sikkim
430,Gangtok,Gangtok,Sikkim
431,Gyalshing,Gyalshing,Sikkim
432,Mangan,Mangan,Sikkim
433,Namchi,Namchi,Sikkim
434,North Sikkim,North Sikkim,Sikkim
435,Pakyong,Pakyong,Sikkim
436,Soreng,Soreng,Sikkim
437,South Sikkim,South Sikkim,Sikkim
438,West Sikkim,West Sikkim,Sikkim
439,Ariyalur,Ariyalur,Tamil Nadu
440,Chengalpattu,Chengalpattu,Tamil Nadu
441,Chennai,Chennai,Tamil Nadu
442,Munnar,Chennai,Tamil Nadu
443,Coimbatore,Coimbatore,Tamil Nadu
444,Cuddalore,Cuddalore,Tamil Nadu
